SMILES,logP
CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C,11.7
CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1OC2C(C(C(C(O2)CO)O)O)NC(=O)C)CO)OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C,9.5
C(CCN)CCN,-0.6
C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,-2.6
C(CON=C(N)N)C(C(=O)O)N,-4.8
C(=O)(N)[O-],-0.1
C(=O)(N)O,-0.8
C(=O)(N)OP(=O)(O)O,-2.1
C(C(C(=O)O)NC(=O)N)C(=O)O,-1.9
[C-]#[O+],0.7
C1=CC(C(C(=C1)CCC(=O)O)O)O,-0.7
C(=O)[O-],0.5
C(=O)O,-0.2
C(C(=O)[O-])ON,-2.7
C(C(=O)O)ON,-3.4
C1=CC=C(C(=C1)C(=O)O)NCC(=O)C(C(COP(=O)(O)O)O)O,-1.3
C[N+](C)(C)CC(CC(=O)[O-])O,-0.2
C1=CC=C(C(=C1)O)O,0.9
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O,-4.5
C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O,-3.9
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,-6.5
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCCN)O)O,-7.2
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,-4.7
C1C2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)OP(=O)(O1)O,-3.4
CC(C=O)C(=O)O,0.0
C,0.6
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],1.1
C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,3.9
C(C(=O)O)Cl,0.2
C1=CC(=C(C=C1O)Cl)O,1.4
CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(=O)CC4C3(CCC(C4)O)C)O)C,3.3
CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,3.6
CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,8.7
C[N+](C)(C)CCO,-0.4
C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O,0.2
C1=CC=C(C=C1)C=CC=O,1.9
C1=CC=C(C=C1)C=CCO,1.9
C(C(=CC(=O)O)C(=O)O)C(=O)O,-1.0
C(=CC(=O)O)C=CC(=O)O,0.2
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,-1.7
[Cl-],0.8
Cl,0.8
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O,-3.4
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OCC(C(C(C(CC(=O)C(=O)O)O)O)O)O)O)O,-6.0
CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O)O,-6.7
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O,-5.8
CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)NCC(C)O)CC(=O)N)(C(C4CCC(=O)N)(C)CC(=O)N)C)C)C(C3CCC(=O)N)(C)CC(=O)N)(C)C)CCC(=O)N,-4.0
C1C(C2=C(NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O)O,-3.1
CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)O)N2)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O)C,3.6
C1=CC(=CC=C1C=CC(=O)O)O,1.5
C1=CC=C2C(=C1)C=CC(=O)O2,1.4
